,time_step,acc,loss,perplexity
0,0,0.0,3.263446569442749,26.13947296142578
1,500,0.044,1.4181815385818481,4.129603862762451
2,1000,0.13,1.015328288078308,2.7602694034576416
3,1500,0.368,0.6681496500968933,1.9506245851516724
4,2000,0.53,0.4291590452194214,1.5359653234481812
5,2500,0.596,0.3325396180152893,1.3945051431655884
6,3000,0.646,0.2734767198562622,1.3145267963409424
7,3500,0.64,0.23198005557060242,1.261094570159912
8,4000,0.666,0.19579842686653137,1.2162816524505615
9,4500,0.708,0.15161585807800293,1.1637130975723267
10,5000,0.766,0.12514863908290863,1.1333168745040894
11,5500,0.766,0.11354868113994598,1.120246410369873
12,6000,0.808,0.09554318338632584,1.100256323814392
13,6500,0.812,0.09765829890966415,1.1025859117507935
14,7000,0.824,0.08468244224786758,1.0883713960647583
15,7500,0.84,0.07672376930713654,1.07974374294281
16,8000,0.828,0.07477710396051407,1.077643871307373
17,8500,0.828,0.0725623369216919,1.075259804725647
18,9000,0.854,0.06743786484003067,1.0697637796401978
19,9500,0.874,0.0608869269490242,1.0627787113189697
