,time_step,acc,loss,perplexity
0,0,0.0,3.4546663761138916,31.647727966308594
1,500,0.054,1.2913942337036133,3.637855052947998
2,1000,0.334,0.7814662456512451,2.1846730709075928
3,1500,0.51,0.4484354555606842,1.565860390663147
4,2000,0.598,0.31591370701789856,1.3715119361877441
5,2500,0.7,0.21690186858177185,1.2422221899032593
6,3000,0.776,0.14397534728050232,1.1548556089401245
7,3500,0.808,0.11802389472723007,1.125270962715149
8,4000,0.842,0.0897798165678978,1.093933343887329
9,4500,0.852,0.07742591947317123,1.0805021524429321
10,5000,0.852,0.06567167490720749,1.0678761005401611
11,5500,0.886,0.055498622357845306,1.0570675134658813
12,6000,0.624,0.1262461096048355,1.1345614194869995
13,6500,0.912,0.03650105744600296,1.0371754169464111
14,7000,0.886,0.04606345295906067,1.0471408367156982
15,7500,0.916,0.030843369662761688,1.0313239097595215
16,8000,0.918,0.03114933706820011,1.031639575958252
17,8500,0.94,0.0252758227288723,1.0255979299545288
18,9000,0.952,0.023036275058984756,1.0233036279678345
19,9500,0.944,0.021681146696209908,1.0219179391860962
