,time_step,acc,loss,perplexity
0,0,0.0,3.3776254653930664,29.301111221313477
1,500,0.058,1.2059193849563599,3.3398282527923584
2,1000,0.254,0.783406138420105,2.188915252685547
3,1500,0.502,0.449654221534729,1.567770004272461
4,2000,0.616,0.2883610427379608,1.334238886833191
5,2500,0.658,0.22402091324329376,1.2510972023010254
6,3000,0.756,0.15949243307113647,1.1729153394699097
7,3500,0.8,0.12712706625461578,1.1355613470077515
8,4000,0.816,0.10157127678394318,1.1069087982177734
9,4500,0.836,0.08321768045425415,1.0867784023284912
10,5000,0.86,0.06974224001169205,1.0722317695617676
11,5500,0.884,0.058981042355298996,1.0607551336288452
12,6000,0.862,0.05539814755320549,1.0569614171981812
13,6500,0.882,0.045400094240903854,1.046446442604065
14,7000,0.872,0.054999638348817825,1.0565402507781982
15,7500,0.924,0.031415991485118866,1.0319147109985352
16,8000,0.854,0.050230205059051514,1.0515130758285522
17,8500,0.924,0.027298010885715485,1.0276739597320557
18,9000,0.924,0.02623499184846878,1.02658212184906
19,9500,0.922,0.02545989863574505,1.0257867574691772
