,time_step,acc,loss,perplexity
0,0,0.0,3.5517983436584473,34.875980377197266
1,500,0.066,1.3116638660430908,3.7123453617095947
2,1000,0.186,0.9236246943473816,2.518402338027954
3,1500,0.36,0.6168760657310486,1.8531299829483032
4,2000,0.48,0.4458905756473541,1.5618805885314941
5,2500,0.598,0.32009822130203247,1.377263069152832
6,3000,0.66,0.24565257132053375,1.278455376625061
7,3500,0.704,0.17836610972881317,1.1952627897262573
8,4000,0.702,0.1746140867471695,1.190786600112915
9,4500,0.768,0.12347657978534698,1.1314234733581543
10,5000,0.78,0.12014082819223404,1.1276556253433228
11,5500,0.798,0.10040127485990524,1.1056145429611206
12,6000,0.818,0.0864272490143776,1.090272068977356
13,6500,0.818,0.08325689285993576,1.0868209600448608
14,7000,0.828,0.0746491402387619,1.0775060653686523
15,7500,0.81,0.07706500589847565,1.080112338066101
16,8000,0.88,0.05810638144612312,1.0598276853561401
17,8500,0.878,0.05867328494787216,1.0604287385940552
18,9000,0.868,0.05601411685347557,1.057612657546997
19,9500,0.814,0.06398804485797882,1.0660796165466309
